record_id,source_path,skipped,skip_reason,detector,collapse_role,total_hours_used,basal_start,basal_end,search_start,search_end,refractory_h,n_symbols,basal_idx_start,basal_idx_end,L,theta_delta_S,theta_R,n_episodes,search_hours,first_alarm_hr,alarmed,far_per_24h,error
16773,nsrdb_16773_clean.npz,False,,I0,none,11.999856770833333,0.25,2.0,2.0,11.999856770833333,0.5,53465,1116,8959,50,0.08,5,17.0,9.999856770833333,2.0711848958333334,1.0,40.80058438337008,
16773,nsrdb_16773_clean.npz,False,,I-mod,modulate,11.999856770833333,0.25,2.0,2.0,11.999856770833333,0.5,53465,1116,8959,50,0.08,5,17.0,9.999856770833333,2.0711848958333334,1.0,40.80058438337008,
16773,nsrdb_16773_clean.npz,False,,I-confirm,confirm,11.999856770833333,0.25,2.0,2.0,11.999856770833333,0.5,53465,1116,8959,50,0.12,8,0.0,9.999856770833333,nan,0.0,0.0,
16773,nsrdb_16773_clean.npz,False,,OPS-S1,n/a,11.999856770833333,0.25,2.0,2.0,11.999856770833333,0.5,53465,1116,8959,50,0.08,5,17.0,9.999856770833333,2.0711848958333334,1.0,40.80058438337008,
16786,nsrdb_16786_clean.npz,False,,I0,none,11.999967447916667,0.25,2.0,2.0,11.999967447916667,0.5,55925,1098,8798,50,0.08,5,18.0,9.999967447916667,2.088161892361111,1.0,43.20014062545776,
16786,nsrdb_16786_clean.npz,False,,I-mod,modulate,11.999967447916667,0.25,2.0,2.0,11.999967447916667,0.5,55925,1098,8798,50,0.08,5,18.0,9.999967447916667,2.088161892361111,1.0,43.20014062545776,
16786,nsrdb_16786_clean.npz,False,,I-confirm,confirm,11.999967447916667,0.25,2.0,2.0,11.999967447916667,0.5,55925,1098,8798,50,0.12,8,0.0,9.999967447916667,nan,0.0,0.0,
16786,nsrdb_16786_clean.npz,False,,OPS-S1,n/a,11.999967447916667,0.25,2.0,2.0,11.999967447916667,0.5,55925,1098,8798,50,0.08,5,18.0,9.999967447916667,2.088161892361111,1.0,43.20014062545776,
16795,nsrdb_16795_clean.npz,False,,I0,none,11.99980685763889,0.25,2.0,2.0,11.99980685763889,0.5,57071,1054,9382,50,0.08,5,18.0,9.99980685763889,2.0216796875,1.0,43.20083439111563,
16795,nsrdb_16795_clean.npz,False,,I-mod,modulate,11.99980685763889,0.25,2.0,2.0,11.99980685763889,0.5,57071,1054,9382,50,0.08,5,18.0,9.99980685763889,2.0216796875,1.0,43.20083439111563,
16795,nsrdb_16795_clean.npz,False,,I-confirm,confirm,11.99980685763889,0.25,2.0,2.0,11.99980685763889,0.5,57071,1054,9382,50,0.12,8,0.0,9.99980685763889,nan,0.0,0.0,
16795,nsrdb_16795_clean.npz,False,,OPS-S1,n/a,11.99980685763889,0.25,2.0,2.0,11.99980685763889,0.5,57071,1054,9382,50,0.08,5,18.0,9.99980685763889,2.0216796875,1.0,43.20083439111563,
17052,nsrdb_17052_clean.npz,False,,I0,none,11.999793836805555,0.25,2.0,2.0,11.999793836805555,0.5,51478,1249,8192,50,0.08,5,18.0,9.999793836805555,2.109505208333333,1.0,43.20089064336179,
17052,nsrdb_17052_clean.npz,False,,I-mod,modulate,11.999793836805555,0.25,2.0,2.0,11.999793836805555,0.5,51478,1249,8192,50,0.08,5,18.0,9.999793836805555,2.109505208333333,1.0,43.20089064336179,
17052,nsrdb_17052_clean.npz,False,,I-confirm,confirm,11.999793836805555,0.25,2.0,2.0,11.999793836805555,0.5,51478,1249,8192,50,0.12,8,4.0,9.999793836805555,3.855837673611111,1.0,9.600197920747064,
17052,nsrdb_17052_clean.npz,False,,OPS-S1,n/a,11.999793836805555,0.25,2.0,2.0,11.999793836805555,0.5,51478,1249,8192,50,0.08,5,18.0,9.999793836805555,2.109505208333333,1.0,43.20089064336179,
17453,nsrdb_17453_clean.npz,False,,I0,none,11.999845920138888,0.25,2.0,2.0,11.999845920138888,0.5,62938,1174,10306,50,0.08,5,18.0,9.999845920138888,2.2907703993055555,1.0,43.2006656352561,
17453,nsrdb_17453_clean.npz,False,,I-mod,modulate,11.999845920138888,0.25,2.0,2.0,11.999845920138888,0.5,62938,1174,10306,50,0.08,5,18.0,9.999845920138888,2.2907703993055555,1.0,43.2006656352561,
17453,nsrdb_17453_clean.npz,False,,I-confirm,confirm,11.999845920138888,0.25,2.0,2.0,11.999845920138888,0.5,62938,1174,10306,50,0.12,8,0.0,9.999845920138888,nan,0.0,0.0,
17453,nsrdb_17453_clean.npz,False,,OPS-S1,n/a,11.999845920138888,0.25,2.0,2.0,11.999845920138888,0.5,62938,1174,10306,50,0.08,5,18.0,9.999845920138888,2.2907703993055555,1.0,43.2006656352561,
18177,nsrdb_18177_clean.npz,False,,I0,none,11.999874131944445,0.25,2.0,2.0,11.999874131944445,0.5,68325,1630,10955,50,0.08,5,18.0,9.999874131944445,2.0423958333333334,1.0,43.20054375684416,
18177,nsrdb_18177_clean.npz,False,,I-mod,modulate,11.999874131944445,0.25,2.0,2.0,11.999874131944445,0.5,68325,1630,10955,50,0.08,5,18.0,9.999874131944445,2.0423958333333334,1.0,43.20054375684416,
18177,nsrdb_18177_clean.npz,False,,I-confirm,confirm,11.999874131944445,0.25,2.0,2.0,11.999874131944445,0.5,68325,1630,10955,50,0.12,8,0.0,9.999874131944445,nan,0.0,0.0,
18177,nsrdb_18177_clean.npz,False,,OPS-S1,n/a,11.999874131944445,0.25,2.0,2.0,11.999874131944445,0.5,68325,1630,10955,50,0.08,5,18.0,9.999874131944445,2.0423958333333334,1.0,43.20054375684416,
18184,nsrdb_18184_clean.npz,False,,I0,none,11.999989149305556,0.25,2.0,2.0,11.999989149305556,0.5,60625,1374,10085,50,0.08,5,16.0,9.999989149305556,2.0455186631944446,1.0,38.40004166671187,
18184,nsrdb_18184_clean.npz,False,,I-mod,modulate,11.999989149305556,0.25,2.0,2.0,11.999989149305556,0.5,60625,1374,10085,50,0.08,5,16.0,9.999989149305556,2.0455186631944446,1.0,38.40004166671187,
18184,nsrdb_18184_clean.npz,False,,I-confirm,confirm,11.999989149305556,0.25,2.0,2.0,11.999989149305556,0.5,60625,1374,10085,50,0.12,8,0.0,9.999989149305556,nan,0.0,0.0,
18184,nsrdb_18184_clean.npz,False,,OPS-S1,n/a,11.999989149305556,0.25,2.0,2.0,11.999989149305556,0.5,60625,1374,10085,50,0.08,5,16.0,9.999989149305556,2.0455186631944446,1.0,38.40004166671187,
19088,nsrdb_19088_clean.npz,False,,I0,none,12.0,0.25,2.0,2.0,12.0,0.5,63547,1160,10741,50,0.08,5,15.0,10.0,2.1768663194444446,1.0,36.0,
19088,nsrdb_19088_clean.npz,False,,I-mod,modulate,12.0,0.25,2.0,2.0,12.0,0.5,63547,1160,10741,50,0.08,5,15.0,10.0,2.1768663194444446,1.0,36.0,
19088,nsrdb_19088_clean.npz,False,,I-confirm,confirm,12.0,0.25,2.0,2.0,12.0,0.5,63547,1160,10741,50,0.12,8,1.0,10.0,10.164670138888889,1.0,2.4000000000000004,
19088,nsrdb_19088_clean.npz,False,,OPS-S1,n/a,12.0,0.25,2.0,2.0,12.0,0.5,63547,1160,10741,50,0.08,5,15.0,10.0,2.1768663194444446,1.0,36.0,
19090,nsrdb_19090_clean.npz,False,,I0,none,11.999791666666667,0.25,2.0,2.0,11.999791666666667,0.5,52014,1232,9642,50,0.08,5,18.0,9.999791666666667,2.0011111111111113,1.0,43.20090001875039,
19090,nsrdb_19090_clean.npz,False,,I-mod,modulate,11.999791666666667,0.25,2.0,2.0,11.999791666666667,0.5,52014,1232,9642,50,0.08,5,18.0,9.999791666666667,2.0011111111111113,1.0,43.20090001875039,
19090,nsrdb_19090_clean.npz,False,,I-confirm,confirm,11.999791666666667,0.25,2.0,2.0,11.999791666666667,0.5,52014,1232,9642,50,0.12,8,0.0,9.999791666666667,nan,0.0,0.0,
19090,nsrdb_19090_clean.npz,False,,OPS-S1,n/a,11.999791666666667,0.25,2.0,2.0,11.999791666666667,0.5,52014,1232,9642,50,0.08,5,18.0,9.999791666666667,2.0011111111111113,1.0,43.20090001875039,
19093,nsrdb_19093_clean.npz,False,,I0,none,11.999776475694444,0.25,2.0,2.0,11.999776475694444,0.5,46690,996,8275,50,0.08,5,18.0,9.999776475694444,2.0825065104166667,1.0,43.20096564658455,
19093,nsrdb_19093_clean.npz,False,,I-mod,modulate,11.999776475694444,0.25,2.0,2.0,11.999776475694444,0.5,46690,996,8275,50,0.08,5,18.0,9.999776475694444,2.0825065104166667,1.0,43.20096564658455,
19093,nsrdb_19093_clean.npz,False,,I-confirm,confirm,11.999776475694444,0.25,2.0,2.0,11.999776475694444,0.5,46690,996,8275,50,0.12,8,0.0,9.999776475694444,nan,0.0,0.0,
19093,nsrdb_19093_clean.npz,False,,OPS-S1,n/a,11.999776475694444,0.25,2.0,2.0,11.999776475694444,0.5,46690,996,8275,50,0.08,5,18.0,9.999776475694444,2.0825065104166667,1.0,43.20096564658455,
19140,nsrdb_19140_clean.npz,False,,I0,none,11.999954427083333,0.25,2.0,2.0,11.999954427083333,0.5,61254,1356,10419,50,0.08,5,17.0,9.999954427083333,2.0513758680555556,1.0,40.80018593834738,
19140,nsrdb_19140_clean.npz,False,,I-mod,modulate,11.999954427083333,0.25,2.0,2.0,11.999954427083333,0.5,61254,1356,10419,50,0.08,5,17.0,9.999954427083333,2.0513758680555556,1.0,40.80018593834738,
19140,nsrdb_19140_clean.npz,False,,I-confirm,confirm,11.999954427083333,0.25,2.0,2.0,11.999954427083333,0.5,61254,1356,10419,50,0.12,8,1.0,9.999954427083333,5.207732204861111,1.0,2.4000109375498457,
19140,nsrdb_19140_clean.npz,False,,OPS-S1,n/a,11.999954427083333,0.25,2.0,2.0,11.999954427083333,0.5,61254,1356,10419,50,0.08,5,17.0,9.999954427083333,2.0513758680555556,1.0,40.80018593834738,
19830,nsrdb_19830_clean.npz,False,,I0,none,11.99998046875,0.25,2.0,2.0,11.99998046875,0.5,70175,1552,13436,50,0.08,5,16.0,9.99998046875,2.1106380208333335,1.0,38.40007500014649,
19830,nsrdb_19830_clean.npz,False,,I-mod,modulate,11.99998046875,0.25,2.0,2.0,11.99998046875,0.5,70175,1552,13436,50,0.08,5,16.0,9.99998046875,2.1106380208333335,1.0,38.40007500014649,
19830,nsrdb_19830_clean.npz,False,,I-confirm,confirm,11.99998046875,0.25,2.0,2.0,11.99998046875,0.5,70175,1552,13436,50,0.12,8,0.0,9.99998046875,nan,0.0,0.0,
19830,nsrdb_19830_clean.npz,False,,OPS-S1,n/a,11.99998046875,0.25,2.0,2.0,11.99998046875,0.5,70175,1552,13436,50,0.08,5,16.0,9.99998046875,2.1106380208333335,1.0,38.40007500014649,
