record_id,source_path,skipped,skip_reason,detector,collapse_role,total_hours_used,basal_start,basal_end,search_start,search_end,refractory_h,n_symbols,basal_idx_start,basal_idx_end,L,theta_delta_S,theta_R,basal_mode,basal_q,mad_kappa,hop,n_episodes,search_hours,first_alarm_hr,alarmed,far_per_24h,error
16420,nsrdb_16420_clean.npz,False,,R3_basal_mad,none,11.999867621527779,0.25,2.0,2.0,11.999867621527779,0.5,60906,1296,9858,50,,5,mad,,2.5,1,9.0,9.999867621527779,2.0224283854166667,1.0,21.600285941285243,
16420,nsrdb_16420_clean.npz,False,,R4_combo,none,11.999867621527779,0.25,2.0,2.0,11.999867621527779,0.5,60906,1296,9858,50,,3,percentile,90.0,,25,6.0,9.999867621527779,2.0319856770833336,1.0,14.400190627523497,
16420,nsrdb_16420_clean.npz,False,,R5_combo_Ls100,none,11.999867621527779,0.25,2.0,2.0,11.999867621527779,0.5,60906,1296,9858,100,,3,percentile,90.0,,50,3.0,9.999867621527779,10.033237847222223,1.0,7.200095313761748,
16483,nsrdb_16483_clean.npz,False,,R0_I0_ref,none,11.999934895833333,0.25,2.0,2.0,11.999934895833333,0.5,63855,1336,11212,50,0.08,5,mean_delta,,,1,17.0,9.999934895833333,2.1264778645833333,1.0,40.80026562672934,
16483,nsrdb_16483_clean.npz,False,,R1_hop,none,11.999934895833333,0.25,2.0,2.0,11.999934895833333,0.5,63855,1336,11212,50,0.08,3,mean_delta,,,25,1.0,9.999934895833333,11.312052951388889,1.0,2.400015625101726,
16483,nsrdb_16483_clean.npz,False,,R2_basal_q90,none,11.999934895833333,0.25,2.0,2.0,11.999934895833333,0.5,63855,1336,11212,50,,5,percentile,90.0,,1,18.0,9.999934895833333,2.0549522569444445,1.0,43.20028125183107,
16483,nsrdb_16483_clean.npz,False,,R3_basal_mad,none,11.999934895833333,0.25,2.0,2.0,11.999934895833333,0.5,63855,1336,11212,50,,5,mad,,2.5,1,6.0,9.999934895833333,3.0071614583333335,1.0,14.400093750610356,
16483,nsrdb_16483_clean.npz,False,,R4_combo,none,11.999934895833333,0.25,2.0,2.0,11.999934895833333,0.5,63855,1336,11212,50,,3,percentile,90.0,,25,5.0,9.999934895833333,2.5860525173611113,1.0,12.00007812550863,
16483,nsrdb_16483_clean.npz,False,,R5_combo_Ls100,none,11.999934895833333,0.25,2.0,2.0,11.999934895833333,0.5,63855,1336,11212,100,,3,percentile,90.0,,50,4.0,9.999934895833333,3.0107074652777777,1.0,9.600062500406905,
16539,nsrdb_16539_clean.npz,False,,R0_I0_ref,none,11.999945746527779,0.25,2.0,2.0,11.999945746527779,0.5,58645,1249,8377,50,0.08,5,mean_delta,,,1,10.0,9.999945746527779,2.0023914930555557,1.0,24.00013020903976,
