detector,detector_display,primary_arm,fusion,sens_sddb,n_sddb,n_detected_sddb,median_lead_h_sddb,sens_vfdb,n_vfdb,n_detected_vfdb,median_lead_h_vfdb,sens_all_events,n_all_events,n_detected_all_events,median_lead_h_all_events,far_per_24h,total_control_episodes,total_search_hours,n_controls,fraction_controls_alarmed,median_far_per_record,mean_far_per_record,min_far_per_record,max_far_per_record,sens_per_far_unit,far_per_sens_unit,specificity_proxy_1_over_1_plus_far24,geometric_balance_sens_x_spec_proxy,youden_like_exploratory,sens_sddb_minus_vfdb_gap
opc_L50,OPC L=50,True,False,0.5454545455,11,6,4.848495551,0.3636363636,22,8,0.04930889659,0.4242424242,33,14,0.2843238788,3.733376994,28,179.997895,18,0.3888888889,0,3.733362848,0,16.80003281,0.1136350347,8.800102914,0.865383253,0.605914424,0.2896256773,0.1818181818
sdd,SDD (TV),True,False,1,11,11,6.964224175,0.9545454545,22,21,0.1414855448,0.9696969697,33,32,0.2374438858,46.26720774,347,179.997895,18,1,45.60091043,46.26720565,45.6,48.00081251,0.02095862311,47.71305799,0.3415533471,0.5755026027,0.3112503168,0.04545454545
absz_tau_s,abs-z τ_s (frozen),True,False,1,11,11,5.889453668,0.8636363636,22,19,0.09989332411,0.9090909091,33,30,0.2260677677,33.73372784,253,179.997895,18,1,33.60046668,33.73371789,19.20037084,45.60057397,0.02694902009,37.10710062,0.4157015474,0.6147442539,0.3247924565,0.1363636364
