stratum,group_key,n,delta_tau_mean,delta_tau_median,delta_tau_n,delta_excess3_mean,delta_excess3_median,delta_excess3_n,delta_var_mean,delta_var_median,delta_var_n,delta_ar1_mean,delta_ar1_median,delta_ar1_n
AF,substrate,3,0.05552742339588527,0.07224213389545515,3,0.0027532147454733904,0.003562562274778913,3,11269.05926422042,3097.381778198236,3,0.013497618751912943,0.03308961611568641,3
paced,substrate,2,-0.04040827872673126,-0.04040827872673126,2,-0.020538649820540766,-0.020538649820540766,2,-445.96397956696364,-445.96397956696364,2,0.03640231857983958,0.03640231857983958,2
sinus,substrate,5,0.01283848859379914,-9.349974516323009e-05,5,0.008360956335269199,0.004328245928255425,5,12255.70523299564,1410.53302902603,5,-0.1497495238192218,-0.09936224852945483,5
intermediate,event_type,6,0.018767254446935444,0.0020343146285830907,6,0.008615190284931074,0.0004894582270123238,6,15766.24648499963,13907.039286898613,6,-0.09715512390101932,0.033227313580269105,6
terminal,event_type,4,0.009338657255394081,0.007838541406411383,4,-0.010676003859475452,-0.009254691534797244,4,-100.9257278730604,-248.22210381300692,4,-0.013129845568643762,-0.005844117253114116,4
none,quality_flag_pacing,8,0.028846839144581436,0.01119935869653084,8,0.0062580532390957705,0.003945404101517169,8,11885.712994704934,2253.957403612133,8,-0.08853184535504627,-0.005844117253114116,8
paced,quality_flag_pacing,2,-0.04040827872673126,-0.04040827872673126,2,-0.020538649820540766,-0.020538649820540766,2,-445.96397956696364,-445.96397956696364,2,0.03640231857983958,0.03640231857983958,2
