source_db,record_id,metric,event_hr,event_label,duration_stratum,basal_start,basal_end,approach_start,approach_end,pre_event_hours,total_hours,z_threshold,min_consecutive,theta3,high_threshold,W_TAU,stride,delta,basal_mean_metric,approach_mean_metric,independence,lead_time_h,detection_hr,alarmed,z_at_detection,basal_mean,basal_std,n_search_points
vfdb,420,tau_s,0.3972644382052951,VT,short_15_60min,0.0,0.13242147940176505,0.2648429588035301,0.3972644382052951,0.3972644507884979,0.5832522511482239,2.0,3.0,0.08,0.65,101,5,0.08721050596231372,0.07000778729558349,0.1572182932578972,independent,0.19773888481987845,0.19952555338541667,1.0,2.30294890270447,0.07000778729558349,0.049911097730668465,212.0
vfdb,420,var,0.3972644382052951,VT,short_15_60min,0.0,0.13242147940176505,0.2648429588035301,0.3972644382052951,0.3972644507884979,0.5832522511482239,2.0,3.0,0.08,0.65,101,5,-2744.8727655103885,3859.2407697357557,1114.3680042253673,independent,0.25877888149685324,0.13848555670844184,1.0,-2.0353860834539588,3859.2407697357557,111.55788569939487,212.0
vfdb,420,ar1,0.3972644382052951,VT,short_15_60min,0.0,0.13242147940176505,0.2648429588035301,0.3972644382052951,0.3972644507884979,0.5832522511482239,2.0,3.0,0.08,0.65,101,5,-0.6282534863100283,0.5358138740851502,-0.09243961222487806,independent,0.2623577711317274,0.13490666707356772,1.0,-2.0164920699477986,0.5358138740851502,0.008878138273918831,212.0
vfdb,420,excess3,0.3972644382052951,VT,short_15_60min,0.0,0.13242147940176505,0.2648429588035301,0.3972644382052951,0.3972644507884979,0.5832522511482239,2.0,3.0,0.08,0.65,101,5,0.06633897159615865,0.3212439246623048,0.3875828962584634,independent,0.12653776380750864,0.27072667439778647,1.0,2.108428812824949,0.3212439246623048,0.03020306065480354,211.0
vfdb,422,tau_s,0.37023444281684026,VT,short_15_60min,0.0,0.12341148093894676,0.24682296187789352,0.37023444281684026,0.3702344298362732,0.5825422406196594,2.0,3.0,0.08,0.65,101,5,-0.13891984864121087,0.06899426784783742,-0.06992558079337347,independent,0.08754333496093747,0.2826911078559028,1.0,-2.0761187806097534,0.06899426784783742,0.10982231410136166,302.0
vfdb,422,var,0.37023444281684026,VT,short_15_60min,0.0,0.12341148093894676,0.24682296187789352,0.37023444281684026,0.3702344298362732,0.5825422406196594,2.0,3.0,0.08,0.65,101,5,-3390.337783806647,8509.427727905768,5119.089944099121,independent,0.15465777926974825,0.215576663547092,1.0,-2.0967517274174883,8509.427727905768,3594.0908793745207,302.0
vfdb,422,ar1,0.37023444281684026,VT,short_15_60min,0.0,0.12341148093894676,0.24682296187789352,0.37023444281684026,0.3702344298362732,0.5825422406196594,2.0,3.0,0.08,0.65,101,5,0.5693821780587816,-0.4339827652422549,0.13539941281652665,independent,0.16395111083984373,0.20628333197699653,1.0,2.169358466868135,-0.4339827652422549,0.034438790398706176,302.0
vfdb,422,excess3,0.37023444281684026,VT,short_15_60min,0.0,0.12341148093894676,0.24682296187789352,0.37023444281684026,0.3702344298362732,0.5825422406196594,2.0,3.0,0.08,0.65,101,5,-0.05781538810272774,0.3962466898246558,0.33843130172192804,independent,nan,nan,0.0,nan,0.3962466898246558,0.09198662571395262,302.0
vfdb,424,tau_s,0.3497211032443576,VFIB,short_15_60min,0.0,0.11657370108145254,0.23314740216290508,0.3497211032443576,0.34972110390663147,0.5809099674224854,2.0,3.0,0.08,0.65,101,5,0.031612215727051585,0.21235619267448216,0.24396840840153375,independent,0.09989332411024304,0.24982777913411458,1.0,-2.1850495868461133,0.21235619267448216,0.10008597866711268,354.0
vfdb,424,var,0.3497211032443576,VFIB,short_15_60min,0.0,0.11657370108145254,0.23314740216290508,0.3497211032443576,0.34972110390663147,0.5809099674224854,2.0,3.0,0.08,0.65,101,5,12743.15597838019,10387.272739229236,23130.428717609426,independent,0.12977998521592882,0.2199411180284288,1.0,2.013837503635713,10387.272739229236,1887.5024368082804,354.0
