detector,role,source,sens_sddb,n_sddb,n_detected_sddb,sens_vfdb,n_vfdb,n_detected_vfdb,sens_all,n_all,n_detected_all,median_lead_h_all,far_per_24h,total_episodes,total_search_hours,n_controls,fraction_controls_alarmed
I0,primary,this_run,1.0,11,11,0.6818181818181818,22,15,0.7878787878787878,33,26,0.2847405497233073,40.133802683601026,301.0,179.99789496527777,18,1.0
I-mod,secondary,this_run,1.0,11,11,0.6818181818181818,22,15,0.7878787878787878,33,26,0.2847405497233073,40.133802683601026,301.0,179.99789496527777,18,1.0
I-confirm,secondary,this_run,0.5454545454545454,11,6,0.13636363636363635,22,3,0.2727272727272727,33,9,1.656579861111111,1.7333536042751274,13.0,179.99789496527777,18,0.2777777777777778
OPS-S1,mode_s_twin,this_run,1.0,11,11,0.6818181818181818,22,15,0.7878787878787878,33,26,0.2847405497233073,40.133802683601026,301.0,179.99789496527777,18,1.0
opc_L50,baseline_anchor,results/ordinal_sensitivity_specificity_tradeoff.csv + ordinal_nsrdb_far_summary.json,0.5454545455,11,6,0.3636363636,22,8,0.4242424242,33,14,,3.733376994,28,179.997895,18,
absz_tau_s,baseline_anchor,results/ordinal_exploratory_summary.json + ordinal_nsrdb_far_summary.json,1.0,11,11,0.8636363636,22,19,0.9090909091,33,30,,33.73372784,253,179.997895,18,
