detector,sddb_n,sddb_n_detected,sddb_sensitivity,sddb_median_lead_h,vfdb_n,vfdb_n_detected,vfdb_sensitivity,vfdb_median_lead_h,all_n,all_n_detected,all_sensitivity,all_median_lead_h,nsrdb_n,nsrdb_total_episodes,nsrdb_search_hours,nsrdb_far_per_24h,nsrdb_fraction_alarmed
cascade,11,6,0.5454545454545454,4.848301323784721,22,7,0.3181818181818182,0.06494001600477434,33,13,0.3939393939393939,0.3277655368381076,18.0,29.0,179.9978949652778,3.866711886459899,0.3888888888888889
opc_L50,11,6,0.5454545454545454,4.848495551215277,22,8,0.36363636363636365,0.04930889659457738,33,14,0.42424242424242425,0.28432387881808807,18.0,28.0,179.9978949652778,3.7333769938233505,0.3888888888888889
sdd,11,11,1.0,6.964224175347221,22,21,0.9545454545454546,0.14148554484049478,33,32,0.9696969696969697,0.23744388580322262,18.0,347.0,179.9978949652778,46.26720774488224,1.0
absz,11,11,1.0,5.889453667534722,22,19,0.8636363636363636,0.09989332411024304,33,30,0.9090909090909091,0.22606776767306858,18.0,253.0,179.9978949652778,33.7337278370467,1.0
